maHuyen,tenHuyen,maTinh,tenTinh
80505,Huyện An Phú,805,An Giang
80511,Huyện Châu Phú,805,An Giang
80519,Huyện Châu Thành,805,An Giang
80517,Huyện Chợ Mới,805,An Giang
80509,Huyện Phú Tân,805,An Giang
80521,Huyện Thoại Sơn,805,An Giang
80515,Huyện Tri Tôn,805,An Giang
80501,Thành phố Long Xuyên,805,An Giang
80513,Thị Xã Tịnh Biên,805,An Giang
80503,Thị xã Châu Đốc,805,An Giang
80507,Thị xã Tân Châu,805,An Giang
71705,Huyện Châu Đức,717,Bà Rịa - Vũng Tàu
71713,Huyện Côn Đảo,717,Bà Rịa - Vũng Tàu
71711,Huyện Long Điền,717,Bà Rịa - Vũng Tàu
71707,Huyện Xuyên Mộc,717,Bà Rịa - Vũng Tàu
71712,Huyện Đất Đỏ,717,Bà Rịa - Vũng Tàu
71703,Thành Phố Bà Rịa,717,Bà Rịa - Vũng Tàu
71701,Thành phố Vũng Tàu,717,Bà Rịa - Vũng Tàu
71709,Thị xã Phú Mỹ,717,Bà Rịa - Vũng Tàu
71115,Huyện Bàu Bàng,711,Bình Dương
71117,Huyện Bắc Tân Uyên,711,Bình Dương
71113,Huyện Dầu tiếng,711,Bình Dương
71111,Huyện Phú Giáo,711,Bình Dương
71109,Thành phố  Dĩ An,711,Bình Dương
71107,Thành phố Thuận An,711,Bình Dương
71101,Thành phố Thủ Dầu Một,711,Bình Dương
71105,Thành phố Tân Uyên,711,Bình Dương
71103,Thị Xã  Bến Cát,711,Bình Dương
70715,Huyện Bù Gia Mập,707,Bình Phước
70707,Huyện Bù Đăng,707,Bình Phước
70706,Huyện Bù Đốp,707,Bình Phước
70713,Huyện Hớn Quản,707,Bình Phước
70705,Huyện Lộc Ninh,707,Bình Phước
70716,Huyện Phú Riềng,707,Bình Phước
70701,Huyện Đồng Phú,707,Bình Phước
70709,Thị xã  Bình Long,707,Bình Phước
70703,Thị xã  Phước Long,707,Bình Phước
70710,Thị xã Chơn Thành,707,Bình Phước
70711,Thị xã Đồng Xoài,707,Bình Phước
